Input,Match type,Approved symbol,Approved name,HGNC ID,Location
MRPL50,Approved symbol,MRPL50,mitochondrial ribosomal protein L50,HGNC:16654,9q31.1
MRPL50P1,Approved symbol,MRPL50P1,mitochondrial ribosomal protein L50 pseudogene 1,HGNC:29719,2p22.3
MRPL50P2,Approved symbol,MRPL50P2,mitochondrial ribosomal protein L50 pseudogene 2,HGNC:29720,2q33.2
MRPL50P4,Approved symbol,MRPL50P4,mitochondrial ribosomal protein L50 pseudogene 4,HGNC:29722,10q21.2
MRPL51,Approved symbol,MRPL51,mitochondrial ribosomal protein L51,HGNC:14044,12p13.31
MRPL51P2,Approved symbol,MRPL51P2,mitochondrial ribosomal protein L51 pseudogene 2,HGNC:29724,21q22.3
MRPL52,Approved symbol,MRPL52,mitochondrial ribosomal protein L52,HGNC:16655,14q11.2
MRPL53,Approved symbol,MRPL53,mitochondrial ribosomal protein L53,HGNC:16684,2p13.1
MRPL53P1,Approved symbol,MRPL53P1,mitochondrial ribosomal protein L53 pseudogene 1,HGNC:29725,1p13.2
MRPL54,Approved symbol,MRPL54,mitochondrial ribosomal protein L54,HGNC:16685,19p13.3
MRPL55,Approved symbol,MRPL55,mitochondrial ribosomal protein L55,HGNC:16686,1q42.13
MRPL57,Approved symbol,MRPL57,mitochondrial ribosomal protein L57,HGNC:14514,13q12.11
MRPL57P6,Approved symbol,MRPL57P6,mitochondrial ribosomal protein L57 pseudogene 6,HGNC:29689,5q34
MRPL57P7,Approved symbol,MRPL57P7,mitochondrial ribosomal protein L57 pseudogene 7,HGNC:29690,8q22.2
MRPL57P8,Approved symbol,MRPL57P8,mitochondrial ribosomal protein L57 pseudogene 8,HGNC:29691,14q13.2
MRPL58,Approved symbol,MRPL58,mitochondrial ribosomal protein L58,HGNC:5359,17q25.1
MRPL9,Approved symbol,MRPL9,mitochondrial ribosomal protein L9,HGNC:14277,1q21.3
MRPL9P1,Approved symbol,MRPL9P1,mitochondrial ribosomal protein L9 pseudogene 1,HGNC:29726,8q21.13
MRPS10,Approved symbol,MRPS10,mitochondrial ribosomal protein S10,HGNC:14502,6p21.1
MRPS10P1,Approved symbol,MRPS10P1,mitochondrial ribosomal protein S10 pseudogene 1,HGNC:29728,1q24.2
MRPS10P2,Approved symbol,MRPS10P2,mitochondrial ribosomal protein S10 pseudogene 2,HGNC:29727,3p26.1
MRPS11,Approved symbol,MRPS11,mitochondrial ribosomal protein S11,HGNC:14050,15q25.3
MRPS11P1,Approved symbol,MRPS11P1,mitochondrial ribosomal protein S11 pseudogene 1,HGNC:16584,20p11.23
MRPS12,Approved symbol,MRPS12,mitochondrial ribosomal protein S12,HGNC:10380,19q13.2
MRPS14,Approved symbol,MRPS14,mitochondrial ribosomal protein S14,HGNC:14049,1q25.1
MRPS15,Approved symbol,MRPS15,mitochondrial ribosomal protein S15,HGNC:14504,1p34.3
MRPS15P1,Approved symbol,MRPS15P1,mitochondrial ribosomal protein S15 pseudogene 1,HGNC:29730,15q24.1
MRPS16,Approved symbol,MRPS16,mitochondrial ribosomal protein S16,HGNC:14048,10q22.2
MRPS16P1,Approved symbol,MRPS16P1,mitochondrial ribosomal protein S16 pseudogene 1,HGNC:29732,8q21.3
MRPS16P2,Approved symbol,MRPS16P2,mitochondrial ribosomal protein S16 pseudogene 2,HGNC:16541,20q13.32
MRPS16P3,Approved symbol,MRPS16P3,mitochondrial ribosomal protein S16 pseudogene 3,HGNC:29733,22q12.3
MRPS17,Approved symbol,MRPS17,mitochondrial ribosomal protein S17,HGNC:14047,7p11.2
MRPS17P1,Approved symbol,MRPS17P1,mitochondrial ribosomal protein S17 pseudogene 1,HGNC:29734,1p34.1
MRPS17P3,Approved symbol,MRPS17P3,mitochondrial ribosomal protein S17 pseudogene 3,HGNC:29736,3p12.3
MRPS17P5,Approved symbol,MRPS17P5,mitochondrial ribosomal protein S17 pseudogene 5,HGNC:29737,6q22.33
MRPS17P9,Approved symbol,MRPS17P9,mitochondrial ribosomal protein S17 pseudogene 9,HGNC:29739,Xq24
MRPS18A,Approved symbol,MRPS18A,mitochondrial ribosomal protein S18A,HGNC:14515,6p21.1
MRPS18AP1,Approved symbol,MRPS18AP1,mitochondrial ribosomal protein S18A pseudogene 1,HGNC:29740,3p21.31
MRPS18B,Approved symbol,MRPS18B,mitochondrial ribosomal protein S18B,HGNC:14516,6p21.33
MRPS18BP1,Approved symbol,MRPS18BP1,mitochondrial ribosomal protein S18B pseudogene 1,HGNC:29741,1q41
MRPS18BP2,Approved symbol,MRPS18BP2,mitochondrial ribosomal protein S18B pseudogene 2,HGNC:29742,2q22.1
MRPS18C,Approved symbol,MRPS18C,mitochondrial ribosomal protein S18C,HGNC:16633,4q21.23
MRPS18CP4,Approved symbol,MRPS18CP4,MRPS18C pseudogene 4,HGNC:29745,12p13.1
MRPS18CP6,Approved symbol,MRPS18CP6,MRPS18C pseudogene 6,HGNC:29747,22q13.31
MRPS2,Approved symbol,MRPS2,mitochondrial ribosomal protein S2,HGNC:14495,9q34.3
MRPS21,Approved symbol,MRPS21,mitochondrial ribosomal protein S21,HGNC:14046,1q21.2
MRPS21P1,Approved symbol,MRPS21P1,mitochondrial ribosomal protein S21 pseudogene 1,HGNC:29748,1p31.3
MRPS21P2,Approved symbol,MRPS21P2,mitochondrial ribosomal protein S21 pseudogene 2,HGNC:29749,1q23.1
MRPS21P3,Approved symbol,MRPS21P3,mitochondrial ribosomal protein S21 pseudogene 3,HGNC:29750,1q31.3
MRPS21P6,Approved symbol,MRPS21P6,mitochondrial ribosomal protein S21 pseudogene 6,HGNC:29753,10q26.13
MRPS21P7,Approved symbol,MRPS21P7,mitochondrial ribosomal protein S21 pseudogene 7,HGNC:29754,16q12.1
MRPS21P8,Approved symbol,MRPS21P8,mitochondrial ribosomal protein S21 pseudogene 8,HGNC:29755,16q12.1
MRPS21P9,Approved symbol,MRPS21P9,mitochondrial ribosomal protein S21 pseudogene 9,HGNC:29756,17q21.33
MRPS22,Approved symbol,MRPS22,mitochondrial ribosomal protein S22,HGNC:14508,3q23
MRPS23,Approved symbol,MRPS23,mitochondrial ribosomal protein S23,HGNC:14509,17q22
MRPS24,Approved symbol,MRPS24,mitochondrial ribosomal protein S24,HGNC:14510,7p13
MRPS25,Approved symbol,MRPS25,mitochondrial ribosomal protein S25,HGNC:14511,3p25.1
MRPS26,Approved symbol,MRPS26,mitochondrial ribosomal protein S26,HGNC:14045,20p13
MRPS27,Approved symbol,MRPS27,mitochondrial ribosomal protein S27,HGNC:14512,5q13.2
MRPS28,Approved symbol,MRPS28,mitochondrial ribosomal protein S28,HGNC:14513,8q21.13
MRPS30,Approved symbol,MRPS30,mitochondrial ribosomal protein S30,HGNC:8769,5p12
MRPS31,Approved symbol,MRPS31,mitochondrial ribosomal protein S31,HGNC:16632,13q14.11
MRPS31P1,Approved symbol,MRPS31P1,mitochondrial ribosomal protein S31 pseudogene 1,HGNC:29763,3p22.1
MRPS31P2,Approved symbol,MRPS31P2,mitochondrial ribosomal protein S31 pseudogene 2,HGNC:39252,13q12.11
MRPS31P4,Approved symbol,MRPS31P4,mitochondrial ribosomal protein S31 pseudogene 4,HGNC:42649,13q14.3
MRPS31P5,Approved symbol,MRPS31P5,mitochondrial ribosomal protein S31 pseudogene 5,HGNC:39253,13q14.3
MRPS33,Approved symbol,MRPS33,mitochondrial ribosomal protein S33,HGNC:16634,7q34
MRPS33P2,Approved symbol,MRPS33P2,mitochondrial ribosomal protein S33 pseudogene 2,HGNC:29765,4p14
MRPS33P3,Approved symbol,MRPS33P3,mitochondrial ribosomal protein S33 pseudogene 3,HGNC:29766,4q26
MRPS33P4,Approved symbol,MRPS33P4,mitochondrial ribosomal protein S33 pseudogene 4,HGNC:29767,20q13.2
MRPS34,Approved symbol,MRPS34,mitochondrial ribosomal protein S34,HGNC:16618,16p13.3
MRPS35,Approved symbol,MRPS35,mitochondrial ribosomal protein S35,HGNC:16635,12p11.22
MRPS35P2,Approved symbol,MRPS35P2,mitochondrial ribosomal protein S35 pseudogene 2,HGNC:29769,5q15
MRPS35P3,Approved symbol,MRPS35P3,mitochondrial ribosomal protein S35 pseudogene 3,HGNC:29770,10q21.1
MRPS36,Approved symbol,MRPS36,mitochondrial ribosomal protein S36,HGNC:16631,5q13.2
MRPS36P1,Approved symbol,MRPS36P1,mitochondrial ribosomal protein S36 pseudogene 1,HGNC:29771,3p26.1
MRPS36P2,Approved symbol,MRPS36P2,mitochondrial ribosomal protein S36 pseudogene 2,HGNC:29772,4q35.2
MRPS36P3,Approved symbol,MRPS36P3,mitochondrial ribosomal protein S36 pseudogene 3,HGNC:29773,8q24.13
MRPS36P4,Approved symbol,MRPS36P4,mitochondrial ribosomal protein S36 pseudogene 4,HGNC:29774,11q23.1
MRPS36P5,Approved symbol,MRPS36P5,mitochondrial ribosomal protein S36 pseudogene 5,HGNC:29775,12q12
MRPS5,Approved symbol,MRPS5,mitochondrial ribosomal protein S5,HGNC:14498,2q11.1
MRPS5P3,Approved symbol,MRPS5P3,mitochondrial ribosomal protein S5 pseudogene 3,HGNC:29778,5q23.2
MRPS5P4,Approved symbol,MRPS5P4,mitochondrial ribosomal protein S5 pseudogene 4,HGNC:29779,18q21.32
MRPS6,Approved symbol,MRPS6,mitochondrial ribosomal protein S6,HGNC:14051,21q22.11
MRPS6P2,Approved symbol,MRPS6P2,mitochondrial ribosomal protein S6 pseudogene 2,HGNC:29781,1p32.3
MRPS6P4,Approved symbol,MRPS6P4,mitochondrial ribosomal protein S6 pseudogene 4,HGNC:29782,12q21.33
MRPS7,Approved symbol,MRPS7,mitochondrial ribosomal protein S7,HGNC:14499,17q25.1
MRPS9,Approved symbol,MRPS9,mitochondrial ribosomal protein S9,HGNC:14501,2q12.1
MRRF,Approved symbol,MRRF,mitochondrial ribosome recycling factor,HGNC:7234,9q33.2
MRRFP1,Approved symbol,MRRFP1,mitochondrial ribosome recycling factor pseudogene 1,HGNC:35238,Xq25
MRS2,Approved symbol,MRS2,magnesium transporter MRS2,HGNC:13785,6p22.3
MRTFA,Approved symbol,MRTFA,myocardin related transcription factor A,HGNC:14334,22q13.1-q13.2
MRTFB,Approved symbol,MRTFB,myocardin related transcription factor B,HGNC:29819,16p13.12
MRTO4,Approved symbol,MRTO4,"MRT4 homolog, ribosome maturation factor",HGNC:18477,1p36.13
MS4A1,Approved symbol,MS4A1,membrane spanning 4-domains A1,HGNC:7315,11q12.2
MS4A10,Approved symbol,MS4A10,membrane spanning 4-domains A10,HGNC:13368,11q12.2
MS4A12,Approved symbol,MS4A12,membrane spanning 4-domains A12,HGNC:13370,11q12.2
MS4A13,Approved symbol,MS4A13,membrane spanning 4-domains A13,HGNC:16674,11q12.2
MS4A14,Approved symbol,MS4A14,membrane spanning 4-domains A14,HGNC:30706,11q12.2
MS4A15,Approved symbol,MS4A15,membrane spanning 4-domains A15,HGNC:28573,11q12.2
MS4A18,Approved symbol,MS4A18,membrane spanning 4-domains A18,HGNC:37636,11q12.2
MS4A2,Approved symbol,MS4A2,membrane spanning 4-domains A2,HGNC:7316,11q12.1
MS4A3,Approved symbol,MS4A3,membrane spanning 4-domains A3,HGNC:7317,11q12.1
MS4A4A,Approved symbol,MS4A4A,membrane spanning 4-domains A4A,HGNC:13371,11q12.2
MS4A4E,Approved symbol,MS4A4E,membrane spanning 4-domains A4E,HGNC:14284,11q12.2
MS4A5,Approved symbol,MS4A5,membrane spanning 4-domains A5,HGNC:13374,11q12.2
MS4A6A,Approved symbol,MS4A6A,membrane spanning 4-domains A6A,HGNC:13375,11q12.2
MS4A6E,Approved symbol,MS4A6E,membrane spanning 4-domains A6E,HGNC:14285,11q12.2
MS4A7,Approved symbol,MS4A7,membrane spanning 4-domains A7,HGNC:13378,11q12.2
MS4A8,Approved symbol,MS4A8,membrane spanning 4-domains A8,HGNC:13380,11q12.2
MSANTD1,Approved symbol,MSANTD1,Myb/SANT DNA binding domain containing 1,HGNC:33741,4p16.3
MSANTD2,Approved symbol,MSANTD2,Myb/SANT DNA binding domain containing 2,HGNC:26266,11q24.2
MSANTD2P1,Approved symbol,MSANTD2P1,Myb/SANT DNA binding domain containing 2 pseudogene 1,HGNC:39637,21q21.2
MSANTD3,Approved symbol,MSANTD3,Myb/SANT DNA binding domain containing 3,HGNC:23370,9q31.1
MSANTD3-TMEFF1,Approved symbol,MSANTD3-TMEFF1,MSANTD3-TMEFF1 readthrough,HGNC:38838,9q31.1
MSANTD4,Approved symbol,MSANTD4,Myb/SANT DNA binding domain containing 4 with coiled-coils,HGNC:29383,11q22.3
MSC,Approved symbol,MSC,musculin,HGNC:7321,8q13.3
MSC-AS1,Approved symbol,MSC-AS1,MSC antisense RNA 1,HGNC:48724,8q13.3-q21.11
MSGN1,Approved symbol,MSGN1,mesogenin 1,HGNC:14907,2p24.2
MSH2,Approved symbol,MSH2,mutS homolog 2,HGNC:7325,2p21-p16.3
MSH3,Approved symbol,MSH3,mutS homolog 3,HGNC:7326,5q14.1
MSH4,Approved symbol,MSH4,mutS homolog 4,HGNC:7327,1p31.1
MSH5,Approved symbol,MSH5,mutS homolog 5,HGNC:7328,6p21.33
MSH5-SAPCD1,Approved symbol,MSH5-SAPCD1,MSH5-SAPCD1 readthrough (NMD candidate),HGNC:41994,6p21.33
MSH6,Approved symbol,MSH6,mutS homolog 6,HGNC:7329,2p16.3
MSI1,Approved symbol,MSI1,musashi RNA binding protein 1,HGNC:7330,12q24.31
MSI2,Approved symbol,MSI2,musashi RNA binding protein 2,HGNC:18585,17q22
MSL1,Approved symbol,MSL1,MSL complex subunit 1,HGNC:27905,17q21.1
MSL2,Approved symbol,MSL2,MSL complex subunit 2,HGNC:25544,3q22.3
MSL3,Approved symbol,MSL3,MSL complex subunit 3,HGNC:7370,Xp22.2
MSL3P1,Approved symbol,MSL3P1,MSL complex subunit 3 pseudogene 1,HGNC:17837,2q37.1
MSLN,Approved symbol,MSLN,mesothelin,HGNC:7371,16p13.3
MSLNL,Approved symbol,MSLNL,mesothelin like,HGNC:14170,16p13.3
MSMB,Approved symbol,MSMB,microseminoprotein beta,HGNC:7372,10q11.22
MSMO1,Approved symbol,MSMO1,methylsterol monooxygenase 1,HGNC:10545,4q32.3
MSMP,Approved symbol,MSMP,"microseminoprotein, prostate associated",HGNC:29663,9p13.3
MSN,Approved symbol,MSN,moesin,HGNC:7373,Xq12
MSNP1,Approved symbol,MSNP1,moesin pseudogene 1,HGNC:7374,5p14.1
MSR1,Approved symbol,MSR1,macrophage scavenger receptor 1,HGNC:7376,8p22
MSRA,Approved symbol,MSRA,methionine sulfoxide reductase A,HGNC:7377,8p23.1
MSRB1,Approved symbol,MSRB1,methionine sulfoxide reductase B1,HGNC:14133,16p13.3
MSRB1P1,Approved symbol,MSRB1P1,methionine sulfoxide reductase B1 pseudogene 1,HGNC:43985,19q13.2
MSRB2,Approved symbol,MSRB2,methionine sulfoxide reductase B2,HGNC:17061,10p12.2
MSRB3,Approved symbol,MSRB3,methionine sulfoxide reductase B3,HGNC:27375,12q14.3
MSS51,Approved symbol,MSS51,MSS51 mitochondrial translational activator,HGNC:21000,10q22.2
MST1,Approved symbol,MST1,macrophage stimulating 1,HGNC:7380,3p21.31
MST1L,Approved symbol,MST1L,macrophage stimulating 1 like (pseudogene),HGNC:7390,1p36.13
MST1P2,Approved symbol,MST1P2,macrophage stimulating 1 pseudogene 2,HGNC:7383,1p36.13
MST1R,Approved symbol,MST1R,macrophage stimulating 1 receptor,HGNC:7381,3p21.31
MSTN,Approved symbol,MSTN,myostatin,HGNC:4223,2q32.2
MSTO1,Approved symbol,MSTO1,misato mitochondrial distribution and morphology regulator 1,HGNC:29678,1q22
MSTO2P,Approved symbol,MSTO2P,"misato family member 2, pseudogene",HGNC:26329,1q22
MSX1,Approved symbol,MSX1,msh homeobox 1,HGNC:7391,4p16.2
MSX2,Approved symbol,MSX2,msh homeobox 2,HGNC:7392,5q35.2
MSX2P1,Approved symbol,MSX2P1,msh homeobox 2 pseudogene 1,HGNC:24976,17q22
MT-ATP6,Approved symbol,MT-ATP6,mitochondrially encoded ATP synthase membrane subunit 6,HGNC:7414,mitochondria
MT-ATP8,Approved symbol,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8,HGNC:7415,mitochondria
MT-CO1,Approved symbol,MT-CO1,mitochondrially encoded cytochrome c oxidase I,HGNC:7419,mitochondria
MT-CO2,Approved symbol,MT-CO2,mitochondrially encoded cytochrome c oxidase II,HGNC:7421,mitochondria
MT-CO3,Approved symbol,MT-CO3,mitochondrially encoded cytochrome c oxidase III,HGNC:7422,mitochondria
MT-CYB,Approved symbol,MT-CYB,mitochondrially encoded cytochrome b,HGNC:7427,mitochondria
MT-ND1,Approved symbol,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,HGNC:7455,mitochondria
MT-ND2,Approved symbol,MT-ND2,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2,HGNC:7456,mitochondria
MT-ND3,Approved symbol,MT-ND3,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3,HGNC:7458,mitochondria
MT-ND4,Approved symbol,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,HGNC:7459,mitochondria
MT-ND4L,Approved symbol,MT-ND4L,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L,HGNC:7460,mitochondria
MT-ND5,Approved symbol,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,HGNC:7461,mitochondria
MT-ND6,Approved symbol,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,HGNC:7462,mitochondria
MT-RNR1,Approved symbol,MT-RNR1,mitochondrially encoded 12S rRNA,HGNC:7470,mitochondria
MT-RNR2,Approved symbol,MT-RNR2,mitochondrially encoded 16S rRNA,HGNC:7471,mitochondria
MT-TA,Approved symbol,MT-TA,mitochondrially encoded tRNA-Ala (GCN),HGNC:7475,mitochondria
MT-TC,Approved symbol,MT-TC,mitochondrially encoded tRNA-Cys (UGU/C),HGNC:7477,mitochondria
MT-TD,Approved symbol,MT-TD,mitochondrially encoded tRNA-Asp (GAU/C),HGNC:7478,mitochondria
MT-TE,Approved symbol,MT-TE,mitochondrially encoded tRNA-Glu (GAA/G),HGNC:7479,mitochondria
MT-TF,Approved symbol,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),HGNC:7481,mitochondria
MT-TG,Approved symbol,MT-TG,mitochondrially encoded tRNA-Gly (GGN),HGNC:7486,mitochondria
MT-TH,Approved symbol,MT-TH,mitochondrially encoded tRNA-His (CAU/C),HGNC:7487,mitochondria
MT-TI,Approved symbol,MT-TI,mitochondrially encoded tRNA-Ile (AUU/C),HGNC:7488,mitochondria
MT-TK,Approved symbol,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),HGNC:7489,mitochondria
MT-TL1,Approved symbol,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,HGNC:7490,mitochondria
MT-TL2,Approved symbol,MT-TL2,mitochondrially encoded tRNA-Leu (CUN) 2,HGNC:7491,mitochondria
MT-TM,Approved symbol,MT-TM,mitochondrially encoded tRNA-Met (AUA/G),HGNC:7492,mitochondria
MT-TN,Approved symbol,MT-TN,mitochondrially encoded tRNA-Asn (AAU/C),HGNC:7493,mitochondria
MT-TP,Approved symbol,MT-TP,mitochondrially encoded tRNA-Pro (CCN),HGNC:7494,mitochondria
MT-TQ,Approved symbol,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),HGNC:7495,mitochondria
MT-TR,Approved symbol,MT-TR,mitochondrially encoded tRNA-Arg (CGN),HGNC:7496,mitochondria
MT-TS1,Approved symbol,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,HGNC:7497,mitochondria
MT-TS2,Approved symbol,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,HGNC:7498,mitochondria
MT-TT,Approved symbol,MT-TT,mitochondrially encoded tRNA-Thr (ACN),HGNC:7499,mitochondria
MT-TV,Approved symbol,MT-TV,mitochondrially encoded tRNA-Val (GUN),HGNC:7500,mitochondria
MT-TW,Approved symbol,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),HGNC:7501,mitochondria
MT-TY,Approved symbol,MT-TY,mitochondrially encoded tRNA-Tyr (UAU/C),HGNC:7502,mitochondria
MT1A,Approved symbol,MT1A,metallothionein 1A,HGNC:7393,16q13
MT1B,Approved symbol,MT1B,metallothionein 1B,HGNC:7394,16q13
MT1CP,Approved symbol,MT1CP,"metallothionein 1C, pseudogene",HGNC:7395,16q13
MT1DP,Approved symbol,MT1DP,"metallothionein 1D, pseudogene",HGNC:7396,16q13
MT1E,Approved symbol,MT1E,metallothionein 1E,HGNC:7397,16q13
MT1F,Approved symbol,MT1F,metallothionein 1F,HGNC:7398,16q13
MT1G,Approved symbol,MT1G,metallothionein 1G,HGNC:7399,16q13
MT1H,Approved symbol,MT1H,metallothionein 1H,HGNC:7400,16q13
MT1HL1,Approved symbol,MT1HL1,metallothionein 1H like 1,HGNC:31864,1q43
MT1JP,Approved symbol,MT1JP,"metallothionein 1J, pseudogene",HGNC:7402,16q13
MT1L,Approved symbol,MT1L,"metallothionein 1L, pseudogene",HGNC:7404,16q13
MT1M,Approved symbol,MT1M,metallothionein 1M,HGNC:14296,16q13
MT1P1,Approved symbol,MT1P1,metallothionein 1 pseudogene 1,HGNC:23681,9q22.32
MT1P3,Approved symbol,MT1P3,metallothionein 1 pseudogene 3,HGNC:16120,20q11.22
MT1X,Approved symbol,MT1X,metallothionein 1X,HGNC:7405,16q13
MT1XP1,Approved symbol,MT1XP1,metallothionein 1X pseudogene 1,HGNC:7442,1p36.13
MT2A,Approved symbol,MT2A,metallothionein 2A,HGNC:7406,16q13
MT2P1,Approved symbol,MT2P1,metallothionein 2 pseudogene 1,HGNC:7407,4q13.2
MT3,Approved symbol,MT3,metallothionein 3,HGNC:7408,16q13
MT4,Approved symbol,MT4,metallothionein 4,HGNC:18705,16q13
MTA1,Approved symbol,MTA1,metastasis associated 1,HGNC:7410,14q32.33
MTA2,Approved symbol,MTA2,metastasis associated 1 family member 2,HGNC:7411,11q12.3
MTA3,Approved symbol,MTA3,metastasis associated 1 family member 3,HGNC:23784,2p21
MTAP,Approved symbol,MTAP,methylthioadenosine phosphorylase,HGNC:7413,9p21.3
MTAPP1,Approved symbol,MTAPP1,methylthioadenosine phosphorylase pseudogene 1,HGNC:42442,3q25.32
MTAPP2,Approved symbol,MTAPP2,methylthioadenosine phosphorylase pseudogene 2,HGNC:42443,3q28
MTATP6P1,Approved symbol,MTATP6P1,MT-ATP6 pseudogene 1,HGNC:44575,1p36.33
MTATP6P2,Approved symbol,MTATP6P2,MT-ATP6 pseudogene 2,HGNC:44576,5q21.1
MTATP6P3,Approved symbol,MTATP6P3,MT-ATP6 pseudogene 3,HGNC:44577,17p11.2
MTATP6P4,Approved symbol,MTATP6P4,MT-ATP6 pseudogene 4,HGNC:44578,2q21.1
MTATP6P7,Approved symbol,MTATP6P7,MT-ATP6 pseudogene 7,HGNC:44581,2q21.1
MTATP6P9,Approved symbol,MTATP6P9,MT-ATP6 pseudogene 9,HGNC:44583,4q32.1
MTATP8P1,Approved symbol,MTATP8P1,MT-ATP8 pseudogene 1,HGNC:44571,1p36.33
MTATP8P2,Approved symbol,MTATP8P2,MT-ATP8 pseudogene 2,HGNC:44572,2p11.2
MTBP,Approved symbol,MTBP,MDM2 binding protein,HGNC:7417,8q24.12
MTCH1,Approved symbol,MTCH1,mitochondrial carrier 1,HGNC:17586,6p21.2
MTCH2,Approved symbol,MTCH2,mitochondrial carrier 2,HGNC:17587,11p11.2
MTCL1,Approved symbol,MTCL1,microtubule crosslinking factor 1,HGNC:29121,18p11.22
MTCL1P1,Approved symbol,MTCL1P1,MTCL1 pseudogene 1,HGNC:42040,13q21.33
MTCO1P3,Approved symbol,MTCO1P3,MT-CO1 pseudogene 3,HGNC:39604,21q22.3
MTCO1P4,Approved symbol,MTCO1P4,MT-CO1 pseudogene 4,HGNC:50350,8q22.3
MTCO1P5,Approved symbol,MTCO1P5,MT-CO1 pseudogene 5,HGNC:51300,3p25.2
MTCO2P1,Approved symbol,MTCO2P1,MT-CO2 pseudogene 1,HGNC:16564,20q13.33
MTCO2P3,Approved symbol,MTCO2P3,MT-CO2 pseudogene 3,HGNC:39576,13q21.1
MTCO2P4,Approved symbol,MTCO2P4,MT-CO2 pseudogene 4,HGNC:50349,8q22.3
MTCO3P1,Approved symbol,MTCO3P1,MT-CO3 pseudogene 1,HGNC:31342,6p21.32
MTCO3P2,Approved symbol,MTCO3P2,MT-CO3 pseudogene 2,HGNC:39681,13q12.12
MTCP1,Approved symbol,MTCP1,mature T cell proliferation 1,HGNC:7423,Xq28
MTCYBP1,Approved symbol,MTCYBP1,MT-CYB pseudogene 1,HGNC:38729,Yp11.2
MTCYBP2,Approved symbol,MTCYBP2,MT-CYB pseudogene 2,HGNC:38807,Yq11.222
MTCYBP3,Approved symbol,MTCYBP3,MT-CYB pseudogene 3,HGNC:39579,13q32.1
MTCYBP4,Approved symbol,MTCYBP4,MT-CYB pseudogene 4,HGNC:41923,6q23.2
MTDH,Approved symbol,MTDH,metadherin,HGNC:29608,8q22.1
MTERF1,Approved symbol,MTERF1,mitochondrial transcription termination factor 1,HGNC:21463,7q21.2
MTERF2,Approved symbol,MTERF2,mitochondrial transcription termination factor 2,HGNC:30779,12q23.3
MTERF3,Approved symbol,MTERF3,mitochondrial transcription termination factor 3,HGNC:24258,8q22.1
MTERF4,Approved symbol,MTERF4,mitochondrial transcription termination factor 4,HGNC:28785,2q37.3
MTF1,Approved symbol,MTF1,metal regulatory transcription factor 1,HGNC:7428,1p34.3
MTF2,Approved symbol,MTF2,metal response element binding transcription factor 2,HGNC:29535,1p22.1
MTFMT,Approved symbol,MTFMT,mitochondrial methionyl-tRNA formyltransferase,HGNC:29666,15q22.31
MTFP1,Approved symbol,MTFP1,mitochondrial fission process 1,HGNC:26945,22q12.2
MTFR1,Approved symbol,MTFR1,mitochondrial fission regulator 1,HGNC:29510,8q13.1
MTFR1L,Approved symbol,MTFR1L,mitochondrial fission regulator 1 like,HGNC:28836,1p36.11
MTFR2,Approved symbol,MTFR2,mitochondrial fission regulator 2,HGNC:21115,6q23.3
MTG1,Approved symbol,MTG1,mitochondrial ribosome associated GTPase 1,HGNC:32159,10q26.3
MTG2,Approved symbol,MTG2,mitochondrial ribosome associated GTPase 2,HGNC:16239,20q13.33
MTHFD1,Approved symbol,MTHFD1,"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",HGNC:7432,14q23.3
MTHFD1L,Approved symbol,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,HGNC:21055,6q25.1
MTHFD1P1,Approved symbol,MTHFD1P1,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 pseudogene 1,HGNC:7433,Xp11.21
MTHFD2,Approved symbol,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",HGNC:7434,2p13.1
MTHFD2L,Approved symbol,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like,HGNC:31865,4q13.3
MTHFD2P1,Approved symbol,MTHFD2P1,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1",HGNC:48859,3q11.2
MTHFD2P2,Approved symbol,MTHFD2P2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 2",HGNC:48860,6q14.3
